[5.321392902190697, 7.612561013963887]
[6.794279625269885, 5.396615816878171]
[3.3836133797854435, -0.08587910970817034]
[0.04455588186436689, 3.5016679368954304]
[0.22406347590774245, 4.56267134755187]
[1.029204134947476, 4.052342667896273]
[7.260905893521583, 6.104307091603346]
[4.886471426083251, -0.81498039705126]
[0.7502771811998249, 4.225171003949939]
[0.006238390532066458, 5.072749346677565]
[5.119705876556775, -1.2192548729104589]
[4.5005325282413935, -1.4302659834983937]
[4.67034921584597, -0.17017382301646855]
[3.0664686522226026, 0.4380256643862715]
[2.9278540957043075, 1.1915666148843802]
[0.47852535822977293, 3.4565437915750046]
[-1.091821884791937, 5.402483642026315]
[-0.09707474212666715, 4.868406087358412]
[5.293781731498364, 0.11419856105393277]
[-0.9196861459778845, 3.9622791846721963]
[0.06840171897634383, 5.078816837882444]
[3.1634299362178906, -1.2351126309156528]
[6.26390565026918, 5.452994370096784]
[1.2051658976417363, 4.1621496836437135]
[2.777538765421518, -0.8045693640109154]
[2.9308952532130923, -0.3416195114246683]
[5.775819203628268, 1.0198183323948167]
[0.07437347089793336, 4.587136397539976]
[0.03792826745266721, 3.862988891820466]
[4.030213636951532, -0.6967978596486678]
[5.646262974649408, 6.025210778101233]
[5.1693717483143455, 5.892926799848904]
[2.366795904194981, 0.8566045576861739]
[-2.4575289924874295, 2.8745738114110173]
[-0.0503461442024176, 6.032320467491042]
[2.2489062249807095, 0.3354673779145734]
[2.2044003386109914, 3.0942951238673566]
[4.499466313958357, 0.04668427933871008]
[1.5199433793468295, 4.553803515732248]
[5.4195989972976335, 1.5532680636657956]
[5.655156930290496, 6.9424460580719645]
[-0.7504219391444792, 3.112759421886006]
[4.980518305865058, -0.3845071255050909]
[2.970542048423945, -1.9722174033505824]
[5.949332550017919, 7.012591095612192]
[6.169351579731621, 5.825838167943099]
[5.956345841167136, 7.413906904490204]
[5.878828624444836, 7.125239142676286]
[5.606501748012946, -1.1307925259589386]
[2.8536393687363986, -1.1706763239545894]
[1.3169459364128488, 1.4558001374908218]
[5.0577019283755495, 4.957598976700432]
[4.962179756741454, -1.1596435338524647]
[4.282992254258024, 3.060560942499959]
[0.9530094316437397, 5.890253473604984]
[2.997506070310644, 0.6335403790316338]
[5.305665299166601, 4.36878105157519]
[-2.244455038126764, 5.7907295708627835]
[4.19349147037548, 0.2579408662446642]
[7.5062548431296765, 6.2528895343280295]
[5.907156956564684, 5.620292038935629]
[3.8430017368842453, -1.0085857469384667]
[-0.3514035285128678, 4.979985657978771]
[-0.4255467676686561, 5.111383775408978]
[2.0274990290020787, -1.056741553415087]
[2.1102696372262417, 2.061040365051168]
[7.478107718921946, 4.2901950271668845]
[-0.5128191352311475, 1.3798726551921878]
[6.708431595281706, 5.387419165192994]
[6.228042803198425, 4.212089570220572]
[3.0606393608883087, -1.4432038855478704]
[6.411974135634791, 6.5880640811969196]
[-0.7373010117285885, 3.5431305483287723]
[2.6865749088367212, -0.5976364208785285]
[3.7654545095591527, -0.5420093098685977]
[5.130815022924015, 1.5307875008606848]
[6.40761271698261, 6.8231507787441155]
[-1.044022294230171, 4.9548046990761785]
[0.2259819146790973, 3.5032710124340096]
[3.7291977449425846, 0.007356948430671641]
[-2.535316435287229, 4.264200727458944]
[3.4883036148161253, 7.164950275974668]
[5.676264604052727, 6.639575910718346]
[3.353111366449986, 0.34591892217114745]
[6.660172482767551, 4.431365288667582]
[5.105782646301444, 5.726172690473484]
[6.777311446178832, 6.982843471652882]
[4.4196156789575625, -1.7551039745150288]
[-0.796969009390808, 2.932205596360415]
[3.9944497593842963, -0.88089078820959]
[5.498171129455273, 6.35615655691716]
[-0.6416478126854285, 5.900532926983826]
[0.795281610900459, 4.096395877257058]
[6.497205000254676, 5.830678171525395]
[-0.30271011309469137, 5.793118647327515]
[0.6130652562980471, 4.186531403618062]
[4.034396921878046, 1.2297181526672205]
[-0.42719345785032214, 5.193730806447504]
[7.6171465466562385, 4.222295721120336]
[6.293168316981926, 5.163183879870525]
[4.751373488055387, 5.591178246177579]
[4.321970581278685, -0.8397717430649483]
[6.212236782869621, 7.40081960667603]
[0.6595483051970092, 2.5499505996783443]
[-0.02681992860395884, 5.5125506892863365]
[-0.4119516937928398, 3.267987439575]
[-0.024721843495673433, 2.715180150404321]
[6.2965738561601325, 7.919628459333573]
[6.0666650357738, 5.886247706803032]
[3.4024451965321556, -0.20023213811660487]
[4.672753846896516, -0.12458443003477099]
[3.765087014509734, 1.1302885853487372]
[4.234624845969979, 2.4881829421214903]
[4.2205922472203214, -2.145541260242878]
[-0.2829678006721554, 5.433349892529278]
[4.886488008051323, 6.727388117944024]
[-0.7199822333363829, 3.4533249060299513]
[3.919681050620624, 1.2480164328182377]
[7.0881350349372205, 7.169891557714059]
[7.358903075505301, 6.078170438080965]
[4.741289280512334, 0.4251334302287423]
[3.7251662178217937, -1.2528621877019976]
[0.7461461840039088, 5.8331424373171155]
[6.088738853326511, 7.061453213756866]
[-0.5992663392785702, 4.6314052010088815]
[5.040123794642982, 2.5097146187765214]
[5.259872297271281, 4.930651539529017]
[0.8969465235635714, 5.299456454435644]
[4.126478961341964, 1.200095714025012]
[6.527641336711257, 5.462297793298449]
[3.871891488149941, -1.8793688243206335]
[6.93448440133105, 6.3469199266074465]
[6.071227608754404, 7.1876941667787815]
[4.561012773776666, -0.026525306599294595]
[7.318500013430713, 6.36260955418483]
[-2.00924836792124, 3.2170461991511163]
[6.297863142921879, 6.266680679957175]
[6.701155535464093, 5.531480265510843]
[6.131363946345132, 4.361593641310741]
[-0.08828164780150628, 4.312336445186934]
[0.20615995658005903, 2.353104117147371]
