	17.0,0.0,0.001401137394,0.000000000000
0	0.0,4.0,0.000000000000,0.000298507463
00	11.0,7.0,0.000906618314,0.000522388060
000	24.0,20.0,0.001978076321,0.001492537313
001	2.0,0.0,0.000164839693,0.000000000000
0011	1.0,0.0,0.000082419847,0.000000000000
01	14.0,2.0,0.001153877854,0.000149253731
012	4.0,0.0,0.000329679387,0.000000000000
02	19.0,0.0,0.001565977087,0.000000000000
03	3.0,0.0,0.000247259540,0.000000000000
036474336	1.0,0.0,0.000082419847,0.000000000000
04	6.0,0.0,0.000494519080,0.000000000000
048	0.0,1.0,0.000000000000,0.000074626866
05	3.0,1.0,0.000247259540,0.000074626866
055	2.0,0.0,0.000164839693,0.000000000000
06	14.0,2.0,0.001153877854,0.000149253731
07	7.0,0.0,0.000576938927,0.000000000000
08	17.0,0.0,0.001401137394,0.000000000000
081	1.0,0.0,0.000082419847,0.000000000000
088889774	1.0,0.0,0.000082419847,0.000000000000
09	20.0,0.0,0.001648396934,0.000000000000
1	19.0,30.0,0.001565977087,0.002238805970
10	25.0,8.0,0.002060496167,0.000597014925
100	0.0,14.0,0.000000000000,0.001044776119
100038	1.0,0.0,0.000082419847,0.000000000000
107	0.0,1.0,0.000000000000,0.000074626866
108	1.0,0.0,0.000082419847,0.000000000000
11	8.0,5.0,0.000659358774,0.000373134328
114427	1.0,0.0,0.000082419847,0.000000000000
12	60.0,5.0,0.004945190802,0.000373134328
120	0.0,1.0,0.000000000000,0.000074626866
1200	1.0,0.0,0.000082419847,0.000000000000
122	0.0,1.0,0.000000000000,0.000074626866
123	0.0,3.0,0.000000000000,0.000223880597
123395	1.0,0.0,0.000082419847,0.000000000000
124	0.0,3.0,0.000000000000,0.000223880597
125	0.0,2.0,0.000000000000,0.000149253731
126	0.0,2.0,0.000000000000,0.000149253731
13	8.0,2.0,0.000659358774,0.000149253731
134	0.0,1.0,0.000000000000,0.000074626866
14	30.0,3.0,0.002472595401,0.000223880597
146907159	1.0,0.0,0.000082419847,0.000000000000
148415904	1.0,0.0,0.000082419847,0.000000000000
149	1.0,0.0,0.000082419847,0.000000000000
15	5.0,13.0,0.000412099233,0.000970149254
150	0.0,1.0,0.000000000000,0.000074626866
1517	1.0,0.0,0.000082419847,0.000000000000
16	3.0,2.0,0.000247259540,0.000149253731
