[1.990690923845054, -0.6026833163462383]
[5.697406988544457, 5.988911689868967]
[2.1857814756316585, 3.0990853692572395]
[0.4840755187691623, 3.3690340042119433]
[-0.7894054404366311, 4.65115451939018]
[3.81095785747364, -1.0790173155334837]
[0.057255230119169345, 3.6118891931779187]
[-1.9203774103710158, 4.770520436184348]
[4.1133465642391025, -3.1124876639446213]
[0.4074171540375522, 5.344929303926625]
[0.3653681089287736, 4.6166409310771295]
[5.957513501477523, 6.388952514180686]
[4.813726045222165, 6.248775281136256]
[4.2085036444273705, 0.19815959679762007]
[5.839649883797515, 4.026817229795139]
[6.824749053516386, 5.7182260665394855]
[-1.7189662845628588, 3.4073844049335573]
[5.410689726809389, 6.745726699655142]
[5.537432077171599, 6.223161917982932]
[1.4656173758886184, 4.507744972972635]
[3.39539167791353, -2.7065699216810164]
[3.2109869098596358, -1.1406349442300718]
[6.486483538660917, 5.530275171557112]
[0.3025305335248706, 4.294464790952094]
[4.0084833726553875, -1.614676907316034]
[-0.33956907770292827, 4.114753385306093]
[7.163629514944787, 5.130648795953648]
[-0.14841280289338582, 3.731551007184816]
[-0.16259392332909597, 2.824798231273079]
[5.792811956989415, 0.973793940344074]
[-0.5978830017620831, 5.017547530946632]
[0.5788105701405046, 4.133782567457614]
[5.764507190370153, 5.233833245156406]
[2.7400359597521464, -0.9839410836108469]
[3.762113658796324, 1.9196735943342687]
[4.520677949652331, 1.768655133253795]
[4.420557306569104, -1.1295834402581173]
[0.9028596725553589, 3.2397923747616915]
[0.5190638401478649, 3.4948188967705316]
[4.295540203291907, 4.786931262298778]
[4.590534310059237, 6.177257299580986]
[4.084102641018188, 1.8171911747789473]
[-0.5155623680099074, 4.622486934804694]
[5.421778375700597, 0.6332500126498039]
[0.25050495522546656, 5.3072200464859725]
[0.3121937975372726, 4.263106418771739]
[3.6991889607296473, 0.12376782116341999]
[-0.17758404263708902, 3.1000256493851475]
[0.7711357854329189, 6.031666772795376]
[0.9732303722844979, 4.261860458419469]
[5.416243009485978, 6.445443319314491]
[7.234942187299078, 4.6568970092762925]
[2.7733759483243325, -1.414615979583363]
[5.365383153919956, -0.7638838906125865]
[0.5116411248873279, 5.598967280183389]
[4.473737107246395, 0.4973148524359998]
[5.798033545828622, 1.2006469781915057]
[5.631928492749361, 6.272933458679009]
[-0.375169550849238, 2.7081324746932647]
[5.01780974521052, -0.5152134704266168]
[6.914707648849841, 6.206601348049899]
[5.717069878458135, 7.638211273463298]
[4.34683893487697, -0.5275149676796992]
[6.389542344328168, 6.612004283047693]
[6.038181702519308, 5.6170161697424605]
[3.129758274823822, -0.16334213115894541]
[3.7504320599851444, -0.8460787156259051]
[0.548469511331266, 3.6082814799176597]
[4.312201383087549, 0.24615088428318757]
[-0.9901641337100802, 3.1901578800569395]
[3.523219338221522, 1.550494845627164]
[3.684661192658922, -1.6414914548858224]
[5.832961986729985, 7.258549015165773]
[-0.8092825537726502, 3.2972921295872037]
[5.3606925547651, 5.079121656022051]
[4.908143288417299, 5.9918890550430834]
[6.117559848480963, 6.250003379674626]
[4.279690200603402, -1.7330210066602747]
[-0.6366769916165789, 2.177710394297449]
[7.708539933693762, 3.7815065444027054]
[6.281010865657925, 5.971620741619272]
[4.047913167403588, -0.10269236044310513]
[4.01380394805919, -1.782964991461215]
[2.0445219411391635, 0.9304094105265673]
[3.9391759550512147, 0.201883957418578]
[3.5224277685669554, 0.7865835807112911]
[4.908447907784836, 0.016416388849844414]
[3.7472311113661187, -0.22236882901059357]
[6.150710437739126, 5.41680023514]
[6.808781309165463, 4.721419080124465]
[6.055385474646142, 6.885913838150698]
[-0.7182008580311242, 4.3489387227257374]
[3.6667388476796616, 1.1052128408476145]
[7.270306201577339, 5.310023436275131]
[-0.15997566661352222, 3.931708773541482]
[1.1086934260798815, 3.4399913388069088]
[0.34444697299413535, 3.6404063234211788]
[6.3155854185057745, 5.701863896791923]
[4.975809152715155, -0.801457136256433]
[-0.9020942527203584, 5.407768877119934]
[6.45729903459013, 5.174425151279574]
[2.8614657682365205, -0.6663999450970317]
